,0,1,2
252,2.0,203.0,1.0
253,2.0,204.0,1.0
254,2.0,206.0,3.0
255,2.0,207.0,1.0
256,2.0,210.0,3.0
257,2.0,213.0,3.0
258,2.0,216.0,3.0
259,2.0,218.0,1.0
260,2.0,219.0,3.0
261,2.0,221.0,1.0
262,2.0,223.0,1.0
263,2.0,229.0,3.0
264,2.0,230.0,1.0
265,2.0,231.0,1.0
266,2.0,232.0,4.0
267,2.0,234.0,1.0
268,2.0,235.0,2.0
269,2.0,236.0,3.0
270,2.0,241.0,1.0
271,2.0,243.0,1.0
272,2.0,245.0,4.0
273,2.0,247.0,2.0
274,2.0,248.0,1.0
275,2.0,251.0,1.0
276,3.0,1.0,4.0
277,3.0,3.0,1.0
278,3.0,5.0,1.0
279,3.0,6.0,2.0
280,3.0,10.0,2.0
281,3.0,15.0,2.0
282,3.0,20.0,4.0
283,3.0,23.0,2.0
284,3.0,26.0,2.0
285,3.0,29.0,2.0
286,3.0,32.0,2.0
287,3.0,35.0,3.0
288,3.0,38.0,1.0
289,3.0,40.0,1.0
290,3.0,41.0,1.0
291,3.0,42.0,1.0
292,3.0,46.0,1.0
293,3.0,47.0,1.0
294,3.0,51.0,2.0
295,3.0,52.0,7.0
296,3.0,54.0,4.0
297,3.0,55.0,6.0
298,3.0,58.0,3.0
299,3.0,60.0,1.0
300,3.0,64.0,1.0
301,3.0,70.0,5.0
302,3.0,72.0,5.0
303,3.0,76.0,3.0
304,3.0,78.0,4.0
305,3.0,80.0,8.0
306,3.0,86.0,4.0
307,3.0,91.0,6.0
308,3.0,93.0,1.0
309,3.0,94.0,1.0
310,3.0,96.0,6.0
311,3.0,101.0,3.0
312,3.0,102.0,2.0
313,3.0,104.0,2.0
314,3.0,112.0,3.0
315,3.0,113.0,9.0
316,3.0,115.0,3.0
317,3.0,116.0,1.0
318,3.0,119.0,1.0
319,3.0,120.0,1.0
320,3.0,124.0,1.0
321,3.0,126.0,1.0
322,3.0,128.0,2.0
323,3.0,133.0,5.0
324,3.0,135.0,5.0
325,3.0,138.0,3.0
326,3.0,141.0,1.0
327,3.0,144.0,1.0
328,3.0,145.0,2.0
329,3.0,146.0,2.0
330,3.0,149.0,1.0
331,3.0,150.0,1.0
332,3.0,154.0,3.0
333,3.0,155.0,1.0
334,3.0,156.0,3.0
335,3.0,158.0,2.0
336,3.0,161.0,1.0
337,3.0,162.0,1.0
338,3.0,163.0,1.0
339,3.0,167.0,3.0
340,3.0,169.0,7.0
341,3.0,171.0,4.0
342,3.0,174.0,2.0
343,3.0,176.0,1.0
344,3.0,178.0,1.0
345,3.0,183.0,4.0
346,3.0,186.0,2.0
347,3.0,194.0,6.0
348,3.0,195.0,3.0
349,3.0,197.0,1.0
350,3.0,200.0,7.0
351,3.0,201.0,4.0
352,3.0,206.0,2.0
353,3.0,207.0,1.0
354,3.0,210.0,2.0
355,3.0,213.0,3.0
356,3.0,216.0,1.0
357,3.0,219.0,3.0
358,3.0,221.0,1.0
359,3.0,223.0,2.0
360,3.0,229.0,3.0
361,3.0,232.0,3.0
362,3.0,234.0,2.0
363,3.0,235.0,2.0
364,3.0,236.0,8.0
365,3.0,243.0,3.0
366,3.0,245.0,3.0
367,3.0,247.0,2.0
368,3.0,251.0,1.0
369,3.0,252.0,1.0
370,4.0,1.0,7.0
371,4.0,3.0,1.0
372,4.0,6.0,3.0
373,4.0,10.0,2.0
374,4.0,15.0,2.0
375,4.0,20.0,7.0
376,4.0,29.0,3.0
377,4.0,32.0,1.0
378,4.0,35.0,4.0
379,4.0,40.0,1.0
380,4.0,47.0,2.0
381,4.0,51.0,3.0
382,4.0,52.0,6.0
383,4.0,54.0,3.0
384,4.0,55.0,5.0
385,4.0,58.0,1.0
386,4.0,60.0,2.0
387,4.0,70.0,6.0
388,4.0,72.0,8.0
389,4.0,76.0,3.0
390,4.0,78.0,4.0
391,4.0,80.0,8.0
392,4.0,86.0,2.0
393,4.0,91.0,9.0
394,4.0,93.0,1.0
395,4.0,94.0,1.0
396,4.0,96.0,7.0
397,4.0,101.0,6.0
398,4.0,104.0,2.0
399,4.0,112.0,1.0
400,4.0,113.0,9.0
401,4.0,115.0,6.0
402,4.0,119.0,1.0
403,4.0,126.0,2.0
404,4.0,128.0,2.0
405,4.0,133.0,7.0
406,4.0,135.0,5.0
407,4.0,138.0,5.0
408,4.0,141.0,1.0
409,4.0,144.0,3.0
410,4.0,145.0,2.0
411,4.0,146.0,3.0
412,4.0,149.0,1.0
413,4.0,154.0,4.0
414,4.0,156.0,1.0
415,4.0,161.0,1.0
416,4.0,162.0,1.0
417,4.0,163.0,2.0
418,4.0,167.0,5.0
419,4.0,169.0,11.0
420,4.0,171.0,1.0
421,4.0,176.0,1.0
