,added,killed
852,797,981
853,546,430
854,10,603
855,12,93
856,151,329
857,427,701
858,104,732
859,151,286
860,445,658
861,160,293
862,451,911
863,89,252
864,941,149
865,89,619
866,555,798
867,116,841
868,785,849
869,660,387
870,284,663
871,651,889
872,797,293
873,532,157
874,451,60
875,710,988
876,91,314
877,286,797
878,458,616
879,39,48
880,657,885
881,260,383
882,48,260
883,303,677
884,859,58
885,590,451
886,662,883
887,624,562
888,286,893
889,407,773
890,509,554
891,25,546
892,206,55
893,350,183
894,178,71
895,887,783
896,58,407
897,12,651
898,657,173
899,883,546
900,684,697
901,677,253
902,392,961
903,738,652
904,329,429
905,863,885
906,916,845
907,616,578
908,619,738
909,684,140
910,141,619
911,867,155
912,942,92
913,812,660
914,883,426
915,144,885
916,649,917
917,242,692
918,402,664
919,162,534
920,125,621
921,557,999
922,693,284
923,318,91
924,418,576
925,674,913
926,716,677
927,205,460
928,204,884
929,71,332
930,386,657
931,226,319
932,551,624
933,657,6
934,544,753
935,512,500
936,185,429
937,12,292
938,481,725
939,194,885
940,88,838
941,429,69
942,884,684
943,438,157
944,983,883
945,751,956
946,157,925
947,55,999
948,981,658
949,172,684
950,509,616
951,375,319
952,641,297
953,785,125
954,233,841
955,884,10
956,483,692
957,627,104
958,515,104
959,578,297
960,71,173
961,764,354
962,417,160
963,132,398
964,281,657
965,88,723
966,562,519
967,649,796
968,1,661
969,658,54
970,709,417
971,763,678
972,797,908
973,131,386
974,183,1
975,71,253
976,881,321
977,709,269
978,934,89
979,908,172
980,326,12
981,988,407
982,546,116
983,523,619
984,888,470
985,125,152
986,432,875
987,714,579
988,891,326
989,424,431
990,841,319
991,859,206
992,657,260
993,567,308
994,658,358
995,841,185
996,867,494
997,785,429
998,657,140
999,908,546
1000,941,833
1001,643,797
1002,906,478
1003,130,286
1004,292,956
1005,95,796
1006,205,183
1007,989,523
1008,35,751
1009,437,500
1010,657,798
1011,942,14
1012,654,88
1013,260,519
1014,484,387
1015,492,546
1016,293,286
1017,642,88
1018,75,796
1019,764,154
1020,297,102
1021,845,913
1022,751,660
1023,375,961
1024,779,728
1025,797,223
1026,941,971
1027,414,883
1028,679,658
1029,991,833
1030,414,807
1031,882,301
1032,855,851
1033,162,883
1034,432,751
1035,875,233
1036,206,427
1037,375,269
1038,546,885
1039,755,504
1040,764,440
1041,113,851
1042,981,182
1043,452,544
1044,576,205
1045,693,321
1046,190,615
1047,977,427
1048,621,908
1049,887,652
1050,297,643
1051,653,491
1052,499,919
1053,284,418
1054,71,721
1055,692,855
1056,392,414
1057,657,25
1058,223,356
1059,474,546
1060,215,12
1061,329,75
1062,286,849
1063,275,435
1064,431,461
1065,148,504
1066,982,569
1067,233,387
1068,308,889
1069,48,693
1070,723,141
1071,440,674
1072,182,452
1073,587,657
1074,293,398
1075,20,407
1076,182,716
1077,677,908
1078,569,289
1079,402,961
1080,636,182
1081,333,679
1082,653,432
1083,113,692
1084,908,286
1085,673,587
1086,564,877
1087,512,594
1088,663,881
1089,783,797
1090,73,956
1091,976,719
1092,199,587
1093,125,318
1094,484,653
1095,506,429
1096,564,58
1097,863,684
