,added,killed
812,363,134
813,643,553
814,60,983
815,739,882
816,142,32
817,880,179
818,548,142
819,90,98
820,443,390
821,923,623
822,243,782
823,578,897
824,692,181
825,719,827
826,133,821
827,334,446
828,204,227
829,367,122
830,176,243
831,370,502
832,244,999
833,416,137
834,254,818
835,245,739
836,220,234
837,210,638
838,549,267
839,231,155
840,243,330
841,120,797
842,129,359
843,305,244
844,201,848
845,254,390
846,921,739
847,176,879
848,421,630
849,941,502
850,458,129
851,700,719
852,387,292
853,394,700
854,886,28
855,11,292
856,334,193
857,114,487
858,547,461
859,623,83
860,296,810
861,304,814
862,499,601
863,670,428
864,726,618
865,190,671
866,134,161
867,809,848
868,344,638
869,35,578
870,525,96
871,35,328
872,190,995
873,91,308
874,459,708
875,893,243
876,798,161
877,864,402
878,521,227
879,136,328
880,460,458
881,692,727
882,77,135
883,840,853
884,366,134
885,670,593
886,475,5
887,304,137
888,379,362
889,893,490
890,251,980
891,578,304
892,723,174
893,638,405
894,365,907
895,359,38
896,103,670
897,646,674
898,624,670
899,81,459
900,542,245
901,781,361
902,357,954
903,882,2
904,216,746
905,499,460
906,342,229
907,913,936
908,423,692
909,126,201
910,995,357
911,164,74
912,625,91
913,380,22
914,9,387
915,889,363
916,121,364
917,739,227
918,537,941
919,313,387
920,643,255
921,848,379
922,957,978
923,848,113
924,35,76
925,216,560
926,244,574
927,459,948
928,22,401
929,726,835
930,547,362
931,405,133
932,845,646
933,609,657
934,558,810
935,82,701
936,245,914
937,461,682
938,4,85
939,157,692
940,753,352
941,548,161
942,671,568
943,593,328
944,174,726
945,657,299
946,372,366
947,216,914
948,967,89
949,700,81
950,400,379
951,486,35
952,517,670
953,574,204
954,1000,367
955,814,860
956,777,379
957,174,176
958,311,136
959,454,525
960,244,621
961,759,219
962,795,552
963,607,568
964,402,818
965,809,670
966,485,502
967,995,161
968,854,880
969,443,886
970,120,893
971,843,379
972,446,214
973,723,738
974,72,315
975,914,978
976,643,623
977,400,122
978,106,537
979,547,646
980,113,1000
981,900,306
982,485,157
983,907,802
984,129,680
985,311,121
986,134,777
987,380,16
988,234,194
989,81,957
990,229,409
991,795,126
992,25,348
993,753,966
994,255,534
995,845,548
996,872,178
997,781,814
998,254,77
999,948,700
1000,416,692
